售后服务顾问广汽集团,汽车
管培生（荷兰）汉朔科技股份有限公司,IT软件
财务实习生飞未云科（深圳）技术有限公司,金融投资
机械操作室码头操作岗南通通海港口有限公司,物流运输
动力电池系统工程师（常熟）新新人力,汽车
法务实习生上海达美乐比萨有限公司,餐饮娱乐
雷达系统工程师深圳市安卫普科技有限公司,电子技术
计量检定员（工作地桂林）（西安）中国人民解放军第五七一八工厂,机械重工
人力资源实习生北京丽兹行房地产顾问有限公司,房地产
用户研究实习生北京易享信息技术有限公司,IT软件
运营专员（24届校招）多益网络有限公司,互联网
汽车电子工程师宁波正朗汽车零部件有限公司,汽车
审核标注助理（接受实习）易宝软件科技（南京）有限公司,IT软件
增长产品实习生北京世纪好未来教育科技有限公司,教育培训
2024届-硕士-病理技术员-宁波(安评)康龙化成（北京）新药技术股份有限公司,医疗保健
数据运营实习生深圳云天畅想信息科技有限公司,互联网
项目研发岗（项目经理）曼德电子电器有限公司,电子技术
数据运营实习生上海哈啰普惠科技有限公司,互联网
java开发（实习生）北京北大软件工程股份有限公司,IT软件
新媒体运营实习生上海玖康国瑞健康管理有限公司,媒体
文员上海安理创科技有限公司,中介服务
病理科分子生信分析员中国医学科学院肿瘤医院深圳医院,医疗保健
北京北元电器有限公司2024届校园招聘北京北元电器有限公司,电子技术
【校招】网络开发工程师(J11100)斑马网络技术有限公司,IT软件
DSP开发工程师杭州亿恒科技有限公司,电子技术
飞行器气动设计与仿真工程师（武汉）中船七一0,航天航空
人事综合专员(管培)沈阳银信资产管理有限公司,金融投资
嵌入式软件开发工程师苏州高新区校园空中双选会,IT软件
感知算法实习生北京魔门塔科技有限公司,IT软件
自如hr实习生、大平台（可年后到岗）北京自如住房租赁有限公司,房地产
机械技术员深圳市星源材质科技股份有限公司,机械重工
汽车质量工程师（济南）新新人力,汽车
计算机开发工程师中国电信股份有限公司安徽分公司,电信运营
电商储备干部泉州红杉根众创贸易有限公司,批发零售
工艺设计工程师（武汉）上海河图工程股份有限公司,加工制造
感知SDK开发工程师-C++北京魔门塔科技有限公司,IT软件
技术研发类广东和胜工业铝材股份有限公司,加工制造
作业帮Hr实习生作业帮教育科技（北京）有限公司,教育培训
法务中国二十二冶集团有限公司,法务
文学实习生-内容梳理与校正专家北京元石科技有限公司,媒体
背调顾问领猎教育科技（上海）有限公司,咨询服务
直播运营实习生成都高途云集教育科技有限公司,媒体
兽医师牧原食品股份有限公司,医疗保健
广州白云国际机场-公共区域巡查员广东海航幸福航空服务有限公司,物流运输
土建设计浙江西子联合工程有限公司,房地产
开发者向-编辑器产品经理实习生（可转正）北京展心展力信息科技有限公司,IT软件
焊接工程师江苏耀坤液压股份有限公司,加工制造
康复治疗师泰康之家沈园(沈阳)养老服务有限公司,医疗保健
查勘定损员华海财产保险股份有限公司,保险
校园宣传大使贝因美股份有限公司,快消
工业设计（AIGC方向）杭州造物云技术有限公司,加工制造
技术研发岗浙江哈尔斯真空器皿股份有限公司,加工制造
数字设计工程师宁波奥拉半导体有限公司,电子技术
收银接待江苏俺家小院文化发展有限公司,餐饮娱乐
工艺员石家庄市海燕包装材料有限公司,加工制造
5G软件研发工程师（2024届）南宁富联富桂精密工业有限公司,电子技术
技术深圳市前海深港现代服务业合作区管理局,政府组织
节目主持人（实习）杭州英智信息技术服务有限公司,媒体
高中英语教师徐州市第三中学,教育培训
工艺员江苏明源纺织有限公司,加工制造
FAE现场应用工程师广东鸿翼芯汽车电子科技有限公司,汽车
电话客服五险带薪培训北京人人追网络科技有限公司益阳高新分公司,生活服务
现场品控扬州品春食品有限公司,快消
采购专员江苏邦能振键机械有限公司,加工制造
综合柜员宁波银行股份有限公司苏州分行,金融投资
储备空气站运维工程师河北赛默森环保科技有限公司,环保
技术员无锡威顺煤矿机械有限公司,采掘冶炼
高中化学教师2024泗阳桃州中学,教育培训
商务专员浙江金诚拍卖有限公司,贸易
高中生物教师河北雄安博奥高级中学有限公司,教育培训
2024届-生物分析方向研究员南通药明康德医药科技有限公司,医疗保健
磁性材料计量（武汉）中船七一0,机械重工
财务管培精英佛山尊贤行控股集团有限公司,金融投资
助教-辅导员喵奥教育科技（昆明）有限公司,教育培训
客服实习生杭州多协信息技术有限公司,生活服务
管理培训生-生产管理类大咖国际2024,加工制造
青少素养教师大连新东方培训学校有限公司,教育培训
人力资源专员江苏东成机电工具有限公司,人力资源
招商交科2024届校园招聘（科研类）（9月28日9点20东南大学交通学院322会议室宣讲）招商局重庆交通科研设计院有限公司,咨询服务
技术员元谋县果然好农业科技有限公司,农业
临床药师延安大学附属医院,医疗保健
电话客服新东方教育科技集团有限公司,生活服务
义乌市帕特进出口有限公司义乌市帕特进出口有限公司,贸易
富士康放说明书一月7K深圳富联富桂精密工业有限公司,加工制造
设计运营实习生（hr方向）上海蔚来汽车有限公司,汽车
结构工程师中山旭贵明电子有限公司,电子技术
土建技术员河北载仁建筑工程有限公司,房地产
前台服务西双版纳千瑞文化传播有限公司,休闲度假
自动驾驶算法工程师江西经纬恒润科技有限公司,汽车
VR全景房源制作河北云鱼科技有限公司,互联网
楼宇自控系统维护工程师北京恒臻同远科技有限公司,环保
弱电智能化设计师浙江浙通云鼎智能科技有限公司,电子技术
硬件工程师江苏阿诗特能源科技有限公司,电子技术
销售管培生北京算能科技有限公司,金融投资
自动驾驶车辆动力学工程师（南昌）新新人力,汽车
算法实习生南京钉子网络科技有限公司,IT软件
JINS眼镜储备干部/验光师/店员-上海睛姿（上海）企业管理有限公司,医疗设备
专利工程师山东国瓷功能材料股份有限公司,认证检验
化工工艺工程师联油工业集团,化工
设计研发岗神驰机电股份有限公司,加工制造
上海-某知名外资企业-项目部韩语实习生上海岱澳人才信息咨询有限公司,咨询服务
工艺助理工程师成都京东方光电科技有限公司,加工制造
研发工程师合肥旭阳铝颜料有限公司,加工制造
ALSCRMIntern历峰商业有限公司,金融投资
党委工作干事-首开股份总部首开2024,房地产
外贸业务厦门市人才服务中心,贸易
微波设计工程师扬州宇安电子科技有限公司,电子技术
工艺员伊顿辉能低压电器（江苏）有限公司,加工制造
图形/3D视觉算法实习生网易（杭州）网络有限公司,媒体
储备失效分析工程师伯恩光学（惠州）有限公司,电子技术
邮轮西餐厅服务员威海兴亚船务有限公司,休闲度假
财务专员（2024届）华勤技术股份有限公司,金融投资
江西泰豪动漫职业学院-教学岗广州高才信息科技有限公司,教育培训
校招-钣喷中心拓展(A204467)北京罗克维尔斯科技有限公司,加工制造
韩语实习生日尚乐堂（北京）科技有限公司,媒体
小学各学科专任教师北京师范大学福清附属学校,教育培训
BD市场运营专员兰树化妆品股份有限公司,快消
海外效果广告投放实习生广州欢聚时代信息科技有限公司,媒体
（实习）财务管理共青团长沙市委,金融投资
市场实习生上海荷瑞展览有限公司,媒体
大客户代表河南益常青生物科技有限公司,医药
ai算法实习生北京猿辅导线上学科培训学校,教育培训
印染管培生（苏州）江苏拓创人力资源服务有限公司,快消
电气工程师江苏新聚环保科技有限公司,新能源
文案策划类实习生珠海原妙医学科技股份有限公司,医疗保健
机械工程师助理厘安（河南）信息技术有限公司,IT软件
延安大学西安创新学院人才招聘公告北京心力志成科技有限公司,教育培训
商业化运营实习生广州小迈网络科技有限公司,互联网
1688运营浙江卓尔雅美妆有限公司,零售
信用卡客户经理招商银行股份有限公司信用卡中心,金融投资
C#软件工程师（校招）(J10288)上海精积微半导体技术有限公司,IT软件
人力资源管培生(招聘方向)上海行动教育科技股份有限公司,人力资源咨询
高中物理老师（往届生可报）南安市本真高级中学有限公司,教育培训
数据开发实习生畅捷通信息技术股份有限公司,IT软件
数据分析/数据开发实习生晖致医药有限公司,医药
