指标（万人）,2022年,2021年,2020年,2019年,2018年,2017年,2016年,2015年,2014年,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003
农林牧渔业,79,87,85.68,134.09,192.62,255.41,263.22,269.98,284.6,294.83,338.86,359.52,375.74,373.68,410.09,426.31,435.25,446.26,466.07,484.54
采矿业,341,345,352.09,367.69,414.43,455.38,490.92,545.78,596.49,636.45,631.02,611.6,562.04,553.69,540.39,535.04,529.67,509.2,500.71,488.26
制造业,3738,3828,3805.53,3832.03,4178.31,4635.46,4893.84,5068.7,5243.14,5257.94,4262.19,4088.33,3637.15,3491.9,3434.26,3465.36,3351.61,3210.9,3050.82,2980.49
电力、热力、燃气及水生产和供应业,375,382,379.75,373.12,369.19,376.96,387.61,396.01,403.65,404.54,344.56,334.69,310.51,307.67,306.51,303.41,302.54,299.95,300.58,297.57
建筑业,1835,1972,2153.25,2270.5,2710.87,2643.21,2724.73,2796,2921.18,2921.9,2010.26,1724.78,1267.51,1177.49,1072.58,1050.78,988.67,926.59,841.03,833.71
交通运输、仓储及邮电通信业,776,798,812.2,815.49,819,843.89,849.51,854.39,861.43,846.22,667.52,662.79,631.11,634.37,627.26,623.05,612.73,613.87,631.85,636.52
信息传输、计算机服务和软件业,529,519,487.06,455.26,424.26,395.39,364.07,349.87,336.27,327.31,222.8,212.76,185.77,173.81,159.5,150.23,138.19,130.1,123.71,116.82
批发和零售业,785,797,786.9,830.05,823.28,842.79,875,883.32,888.57,890.81,711.85,647.49,535.09,520.84,514.35,506.86,515.73,544.04,586.73,628.15
住宿和餐饮业,255,265,256.61,265.23,269.85,265.94,269.75,276.12,289.29,304.39,265.05,242.74,209.22,202.12,193.25,185.81,183.91,181.25,177.13,172.12
金融业,740,818,858.98,826.06,699.3,688.81,665.17,606.83,566.3,537.94,527.77,505.32,470.08,449.05,417.55,389.71,367.39,359.29,356.02,353.34
房地产业,512,529,525.35,510.26,466.01,444.78,431.74,417.34,402.24,373.73,273.71,248.58,211.63,190.92,172.68,166.47,153.95,146.51,133.43,120.23
租赁和商务服务业,738,680,643.64,660.37,529.52,522.56,488.41,474.04,449.45,421.89,292.29,286.58,310.07,290.5,274.69,247.23,236.75,218.54,194.43,183.49
科学研究、技术服务和地质勘查业,456,450,431.2,434.32,411.53,420.41,419.56,410.58,408.04,387.76,330.68,298.47,292.29,272.59,257.04,243.39,235.45,227.73,222.13,221.87
水利、环境和公共设施管理业,254,253,245.56,244.45,260.63,268.5,269.6,273.33,269.12,259.2,243.78,230.35,218.91,205.66,197.29,193.46,187,180.39,176.12,172.54
居民服务、修理和其他服务业,90,86,82.81,86.32,77.41,78.23,75.38,75.18,75.41,72.33,62.13,59.85,60.25,58.82,56.53,57.39,56.56,53.93,54.24,52.79
教育业,1951,1972,1958.93,1909.32,1735.58,1730.37,1729.24,1736.47,1727.33,1687.23,1653.38,1617.77,1581.75,1550.35,1533.99,1520.91,1504.41,1483.25,1466.79,1442.77
卫生、社会保障和社会福利业,1114,1095,1051.86,1006.23,912.37,897.94,866.99,841.65,810.43,770.03,719.28,679.06,632.54,595.77,563.61,542.8,525.43,508.9,494.69,485.79
文化、体育和娱乐业,147,152,149.51,151.16,146.58,152.24,150.77,149.09,145.52,146.95,137.74,134.99,131.37,129.52,125.96,125.01,122.36,122.52,123.38,127.75
